data_iniSE,casos,umidmed,tempmed
2017-04-16,0,81.5408194285714,25.4468617142857
2017-04-23,1,77.9899348571429,26.5604165714286
2017-04-30,0,76.627006,25.5090742857143
2017-05-07,0,77.9846942857143,24.4800845714286
2017-05-14,1,86.580938,23.5659902857143
2017-05-21,2,75.5067094285714,24.2709957142857
2017-05-28,0,84.1070728571429,22.7887447142857
2017-06-04,0,84.9827251428571,23.0864151428571
2017-06-11,0,72.3656751428571,24.0909721428571
2017-06-18,0,71.9541127142857,23.4148631428571
2017-06-25,0,76.8739162857143,22.8476548571429
2017-07-02,0,69.5253967142857,22.5603175714286
2017-07-09,0,75.9795101428571,22.3204908571429
2017-07-16,0,76.2503622857143,22.0461762857143
2017-07-23,0,70.1343434285714,22.5222584285714
2017-07-30,0,80.5507935714286,20.6320345714286
2017-08-06,0,78.2085491428571,21.400397
2017-08-13,0,66.0793651428571,23.8398267142857
2017-08-20,0,71.19091,24.6437228571429
2017-08-27,0,63.1981808,23.9692642857143
2017-09-03,0,77.8521588,23.2563636
2017-09-10,0,76.68722667519748,25.733835799367153
2017-09-17,0,76.68722667519748,25.733835799367153
2017-09-24,0,76.68722667519748,25.733835799367153
2017-10-01,0,76.68722667519748,25.733835799367153
2017-10-08,0,76.68722667519748,25.733835799367153
2017-10-15,0,76.68722667519748,25.733835799367153
2017-10-22,0,76.68722667519748,25.733835799367153
2017-10-29,0,76.68722667519748,25.733835799367153
2017-11-05,0,76.68722667519748,25.733835799367153
2017-11-12,0,76.425383,25.229167
2017-11-19,1,79.1923931428571,26.3095237142857
2017-11-26,0,75.7460757142857,26.4761905714286
2017-12-03,0,86.0314912857143,25.6292517142857
2017-12-10,1,81.8501365714286,25.8168828571429
2017-12-17,0,78.2988792857143,26.1464285714286
2017-12-24,0,76.6821505714286,25.6535714285714
2017-12-31,0,86.3496794285714,25.4857142857143
2018-01-07,0,76.7512887142857,26.9357142857143
2018-01-14,1,77.7829528571429,26.4559522857143
2018-01-21,0,76.4312257142857,26.5321425714286
2018-01-28,0,80.9138161428571,26.2464282857143
2018-02-04,0,84.17588,26.3023808571429
2018-02-11,0,81.8889787142857,25.8142857142857
2018-02-18,1,78.2169372857143,26.3349565714286
2018-02-25,0,75.9673764285714,27.0059525714286
2018-03-04,0,82.7870605714286,26.4025971428571
2018-03-11,1,85.155185,26.2088742857143
2018-03-18,0,79.435445,26.655844
2018-03-25,0,79.8106135714286,25.974026
2018-04-01,0,77.3070672857143,26.4025971428571
2018-04-08,0,78.3492058571429,26.7142857142857
2018-04-15,1,79.0733507142857,26.8647185714286
2018-04-22,0,80.3263534285714,26.8273811428571
2018-04-29,1,77.009025,27.8095237142857
2018-05-06,0,77.8792648571429,26.9404762857143
2018-05-13,0,76.9427158571429,27.3511902857143
2018-05-20,0,78.9586705714286,26.6076837142857
2018-05-27,0,79.2464337142857,25.7402597142857
2018-06-03,0,84.7810702857143,25.467532
2018-06-10,0,77.4057285714286,26.0
2018-06-17,0,75.3478942857143,25.8051948571429
2018-06-24,0,80.2174165714286,24.818182
2018-07-01,0,78.7171637142857,25.1850645714286
2018-07-08,0,80.070745,24.327922
2018-07-15,0,70.5132405714286,25.8571425714286
2018-07-22,0,66.2105688571429,26.2440477142857
2018-07-29,0,71.5632208571429,25.785714
2018-08-05,0,75.6728644285714,25.8571425714286
2018-08-12,0,79.1544662857143,25.8269481428571
2018-08-19,0,80.9175778571429,24.8160174285714
2018-08-26,0,76.8402271428571,24.7175325714286
2018-09-02,0,79.0637362857143,24.7056274285714
2018-09-09,0,72.1698498571429,25.0119045714286
2018-09-16,0,81.3181692857143,25.5725111428571
2018-09-23,0,77.7591668571429,26.0227271428571
2018-09-30,0,75.5849494285714,26.3160177142857
2018-10-07,1,71.72735,27.0773808571429
2018-10-14,1,79.394073,26.9656592857143
2018-10-21,0,84.3361477142857,25.7911257142857
2018-10-28,0,82.9484085714286,26.4437231428571
2018-11-04,1,81.3933322857143,26.2324674285714
2018-11-11,0,80.8984712857143,26.7272728571429
2018-11-18,1,79.3545555714286,26.7766234285714
2018-11-25,2,86.0560108571429,25.3071428571429
2018-12-02,0,89.8585022857143,26.0785714285714
2018-12-09,0,76.1627035714286,28.0833334285714
2018-12-16,1,72.3174412857143,27.5357142857143
2018-12-23,0,80.8372208571429,26.8738097142857
2018-12-30,0,82.3346027142857,26.7714285714286
2019-01-06,0,76.6442201428571,27.2571428571429
2019-01-13,0,73.264528,28.1809525714286
2019-01-20,0,72.1157902857143,28.8095237142857
2019-01-27,0,72.9151462857143,28.9583328571429
2019-02-03,1,75.3276837142857,28.6626981428571
2019-02-10,1,80.650405,27.8428571428571
2019-02-17,2,83.4638951428571,27.931818
2019-02-24,1,82.6473312857143,28.1818185714286
2019-03-03,0,82.5830527142857,27.7142857142857
2019-03-10,0,80.3619378571428,27.7662337142857
2019-03-17,1,86.4587608571428,27.4805194285714
2019-03-24,2,84.8257207142857,27.61039
2019-03-31,3,86.9597031428572,26.8311688571429
2019-04-07,1,83.0369248571428,27.2602814285714
2019-04-14,2,83.091605,26.9266425714286
2019-04-21,3,78.4083412857143,27.4956708571429
2019-04-28,5,83.4901627142857,26.8988094285714
2019-05-05,14,85.3876731428571,26.2272728571429
2019-05-12,11,87.8006841428571,26.181818
2019-05-19,16,86.1329678571429,26.2597405714286
2019-05-26,11,86.15217,25.2467531428571
2019-06-02,16,79.6224001428571,25.2129868571429
2019-06-09,26,79.9503884285714,25.2602817142857
2019-06-16,42,75.3374114285714,25.5584414285714
2019-06-23,56,78.6908987142857,24.8961037142857
2019-06-30,45,87.4676464285714,24.3766231428571
2019-07-07,59,78.5258935714286,24.844156
2019-07-14,39,83.9299187142857,23.4155845714286
2019-07-21,54,82.4264171428571,24.155844
2019-07-28,33,84.443638,23.6493508571429
2019-08-04,29,82.8384891428571,24.1688314285714
2019-08-11,26,85.0448522857143,24.1688311428571
2019-08-18,10,89.3236715714286,23.5324671428571
2019-08-25,15,86.035769,23.8268397142857
2019-09-01,17,84.2696662857143,24.5671
2019-09-08,9,81.8453202857143,24.3885285714286
2019-09-15,7,76.3228508571429,25.079004
2019-09-22,7,78.128558,24.975108
2019-09-29,8,81.2800042857143,25.2619048571429
2019-10-06,7,81.718808,25.0757571428571
2019-10-13,2,76.6529978571429,25.7294377142857
2019-10-20,2,84.6623975714286,25.7099568571429
2019-10-27,3,81.3932811428571,26.0216451428571
2019-11-03,3,82.1516627142857,26.0376622857143
2019-11-10,4,81.6785364285714,26.3610388571429
2019-11-17,1,80.8566315714286,26.4831168571429
2019-11-24,3,82.817123,26.1311688571429
2019-12-01,1,81.0651177142857,25.9584414285714
2019-12-08,1,77.3745665714286,26.6610388571429
2019-12-15,0,79.61133,26.251948
2019-12-22,1,79.2627094285714,26.6415585714286
2019-12-29,1,80.5450558333333,26.5916666666667
2020-01-05,2,80.0581157142857,27.0845237142857
2020-01-12,5,80.6283585714286,28.1488094285714
2020-01-19,4,79.7798877142857,27.2202382857143
2020-01-26,4,81.5266342857143,27.7634577142857
2020-02-02,3,81.8634492857143,27.5071428571429
2020-02-09,2,82.6888785714286,27.5142857142857
2020-02-16,7,82.206113,26.8961037142857
2020-02-23,6,82.1488884285714,28.3349565714286
2020-03-01,6,82.0895592857143,28.5535711428571
